                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 2.1517,                 1.1366,                0.88292,                0.47572,                0.35315,                0.35521,                0.20203,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                     85,                 2.1479,                 1.1321,                0.88511,                0.47638,                0.35348,                0.35479,                0.20112,                      0,                      0,                      0,               0.001783,               0.001783,               0.001783
                     86,                 2.1484,                 1.1303,                0.88057,                0.47226,                0.35561,                0.35525,                0.20089,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     87,                 2.1457,                 1.1302,                 0.8792,                0.48203,                0.34938,                0.35578,                0.20139,                      0,                      0,                      0,               0.001585,               0.001585,               0.001585
                     88,                 2.1475,                 1.1335,                0.88118,                   0.48,                0.35251,                0.35688,                0.20235,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                     89,                 2.1354,                 1.1192,                0.87273,                0.46532,                0.35683,                0.35833,                 0.2036,                      0,                      0,                      0,               0.001387,               0.001387,               0.001387
                     90,                 2.1352,                 1.1146,                0.87401,                0.48044,                0.35014,                0.35677,                 0.2027,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     91,                 2.1007,                 1.1041,                0.84543,                0.46274,                 0.3559,                 0.3542,                0.20053,                      0,                      0,                      0,               0.001189,               0.001189,               0.001189
                     92,                 2.0892,                 1.0902,                0.84058,                0.46967,                0.35173,                  0.354,                0.19972,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     93,                 2.0829,                 1.0848,                0.83833,                0.47286,                0.35015,                0.35375,                0.20032,                      0,                      0,                      0,               0.000991,               0.000991,               0.000991
                     94,                 2.0823,                 1.0791,                0.83628,                0.47718,                0.34887,                 0.3545,                0.20024,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                     95,                 2.0811,                 1.0752,                0.83275,                0.47696,                0.35018,                0.35551,                0.20094,                      0,                      0,                      0,               0.000793,               0.000793,               0.000793
                     96,                 2.0751,                 1.0696,                 0.8312,                0.47119,                0.35211,                0.35477,                0.20064,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                     97,                 2.0789,                 1.0666,                0.82984,                0.47179,                0.35314,                0.35539,                0.20123,                      0,                      0,                      0,               0.000595,               0.000595,               0.000595
                     98,                 2.0718,                 1.0623,                0.82794,                0.48371,                0.34853,                0.35572,                0.20142,                      0,                      0,                      0,               0.000496,               0.000496,               0.000496
                     99,                 2.0668,                 1.0574,                0.82489,                0.47663,                0.35209,                0.35518,                0.20125,                      0,                      0,                      0,               0.000397,               0.000397,               0.000397
                    100,                 2.0663,                 1.0504,                0.82196,                0.47491,                0.35234,                0.35498,                0.20104,                      0,                      0,                      0,               0.000298,               0.000298,               0.000298
